DIVISION_ID,PROVINCE_ID,DIVISION_NAME,DIVISION_NAME_URDU,DIVISION_GPS,CREATION_DATE_TIME_STAMP,CREATION_USER_ID,INTERFACE_SOURCE,UPDATE_DATE_TIME_STAMP,UPDATE_USER_ID,RECORD_ACTIVE_STATUS,URL_USED,REMARKS_REASON_OF_NON_ACTIVE,division_latitude,division_longitude
1,1,Muzaffarabad Division,,,,,,,,1,,,,
2,1,Poonch Division,,,,,,,,1,,,,
3,1,Mirpur Division,,,,,,,,1,,,,
4,2,Quetta Division,,,,,,,,1,,,,
5,2,Pishin Division,,,,,,,,1,,,,
6,2,Khuzdar Division,,,,,,,,1,,,,
7,2,Lasbela Division,,,,,,,,1,,,,
8,2,Makran Division,,,,,,,,1,,,,
9,2,Naseerabad Division,,,,,,,,1,,,,
10,2,Sibi Division,,,,,,,,1,,,,
11,2,Rakhshan Division,,,,,,,,1,,,,
12,2,Zhob Division,,,,,,,,1,,,,
13,2,Loralai Division,,,,,,,,1,,,,
14,2,Koh-e-Sulaiman Division,,,,,,,,1,,,,
15,3,DISPUTED TERRITORY,,,,,,,,1,,,,
16,4,FATA,,,,,,,,1,,,,
17,5,FEDERAL CAPITAL TERRITORY,,,,,,,,1,,,,
18,6,Gilgit Division,,,,,,,,1,,,,
19,6,Baltistan Division,,,,,,,,1,,,,
20,6,Diamer Division,,,,,,,,1,,,,
21,7,Peshawar Division,,,,,,,,1,,,,
22,7,Mardan Division,,,,,,,,1,,,,
23,7,Hazara Division,,,,,,,,1,,,,
24,7,Malakand Division,,,,,,,,1,,,,
25,7,Kohat Division,,,,,,,,1,,,,
26,7,Bannu Division,,,,,,,,1,,,,
27,7,Dera Ismail Khan Division,,,,,,,,1,,,,
28,8,Lahore Division,,,,,,,,1,,,,
29,8,Gujrat Division,,,,,,,,1,,,,
30,8,Gujranwala Division,,,,,,,,1,,,,
31,8,Faisalabad Division,,,,,,,,1,,,,
50,16,KHYBER AGENCY,,,,,,,,,1,,[NULL],70.97667189,33.8686421
51,16,KURRAM AGENCY,,,,,,,,,1,,[NULL],70.07413066,33.88031014
52,16,MOHMAND AGENCY,,,,,,,,,1,,[NULL],71.23257002,34.59338902
53,16,NORTH WAZIRISTAN AGENCY,,,,,,,,,1,,[NULL],70.02436864,32.84003118
54,16,ORAKZAI AGENCY,,,,,,,,,1,,[NULL],71.16450035,33.75139698
55,16,SOUTH WAZIRISTAN AGENCY,,,,,,,,,1,,[NULL],69.96344595,32.60901474
56,17,ISLAMABAD,,,,,,,,,1,,[NULL],73.12121495,33.66508855
57,20,ASTORE,,,,,,,,,1,,[NULL],74.88347343,35.14611465
58,20,DIAMIR,,,,,,,,,1,,[NULL],74.21972155,35.3819001
59,19,GHANCHE,,,,,,,,,1,,[NULL],76.87033392,35.34605048
60,18,GHIZER,,,,,,,,,1,,[NULL],73.90204951,36.57492127
61,18,GILGIT,,,,,,,,,1,,[NULL],74.42239751,35.91658028
62,18,HUNZA,,,,,,,,,1,,[NULL],75.15109539,36.59962258
63,19,SKARDU,,,,,,,,,1,,[NULL],75.10784449,35.58000922
64,23,ABBOTTABAD,,,,,,,,,1,,[NULL],73.28461319,34.15083566
65,26,BANNU,,,,,,,,,1,,[NULL],70.82770735,32.9638431
66,23,BATAGRAM,,,,,,,,,1,,[NULL],73.03664218,34.68496427
67,24,BUNER,,,,,,,,,1,,[NULL],72.57836821,34.3230985
68,21,CHARSADDA,,,,,,,,,1,,[NULL],71.70792239,34.34174935
69,24,CHITRAL,,,,,,,,,1,,[NULL],72.55826021,36.46167957
70,27,DERA ISMAIL KHAN,,,,,,,,,1,,[NULL],70.9841284,32.20184693
71,25,HANGU,,,,,,,,,1,,[NULL],70.70802319,33.38570047
72,23,HARIPUR,,,,,,,,,1,,[NULL],72.96225324,33.96457809
